Date recorded,Category,Initiative name,Original planned end date,Initiative stage,Quality,Planned end date,Explanatory notes,Date data current at,Priority,Original total estimated expenditure,Cost,Category name,Percentage complete,Actual cost to date,Time-frame,Overall status,_id,Investment objectives,Revised total estimated expenditure,Actual start date,Department
30/4/2018,EHQ,Application Server Replacement,2018-06-29T00:00:00,Initiate,G,2018-12-31T00:00:00,,2018-02-28T00:00:00,High,5600000,G,eHealth Queensland,13,461528,G,G,1,"This project aims to establish a robust, highly available and secure contemporary platform that has the capability to support the agile eHealth Strategy.",5600000,2017-07-03T00:00:00,DH
30/4/2018,HSQ,AUSLAB Re-hosting project,2018-06-30T00:00:00,Delivery,G,2018-06-30T00:00:00,,2018-02-28T00:00:00,High,1691324,G,Health Support Queensland,32,425294,G,G,2,"Delivery of a replacement hardware and visualisation solution for the AUSLAB and AUSCARE systems that will achieve improved resiliency of the architecture, updated operating system and inclusion of virtualisation. AUSLAB and AUSCARE are critical to support laboratories and patient clinical care.",1554952,2017-08-28T00:00:00,DH
30/4/2018,MNHHS,Automated Medications Distribution System (AMDS) Stage 1,2016-08-01T00:00:00,Delivery,G,2018-07-30T00:00:00,,2018-03-16T00:00:00,High,1858668,G,Metro North,50,1023772,G,G,3,"The Automated Medication Distribution System (AMDS) Project is part of the broader Electronic Medications Management (EMM) Program. 
30/4/2018,
30/4/2018,Once Stage One is implementing, the AMDS machines that will manage medication inventory, storage and recording of medication administration in the Departments of Emergency Medicine (DEM) at Royal Brisbane and Women
30/4/2018,92s Hospital (RBWH), The Prince Charles Hospital (TPCH), Caboolture Hospital and Redcliffe Hospital. 
30/4/2018,
30/4/2018,Anticipated benefits associated with AMDS include improved patient safety, improved workflow efficiencies and clinical service delivery, reduced costs of drug diversion, and compliance and adherence to relevant legislative requirements, standards and policies.",2482431,2015-06-01T00:00:00,DH
30/4/2018,EHQ,Backup Asset Replacement,2019-06-28T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,11180394,G,eHealth Queensland,12,268218,G,G,4,"The Backup Asset Replacement (BAR) project was derived from the Storage and Backup Asset Replacement (SBAR) project which commenced in FY 16/17 under the 2016-2018 eHealth Queensland prioritised ICT program of work. The scope of the SBAR project is the preliminary evaluation and requirements specification for the BAR and Storage Asset Replacement (SAR) projects.
30/4/2018,The BAR project was prioritised as part of the 2017-2019 eHealth Queensland ICT program of work.
30/4/2018,a0 Archiving is used for the long-term retention of data records, in line with the retention requirements outlined by the various legislative, statutory and regulatory policies.",11180394,2017-07-03T00:00:00,DH
30/4/2018,MNHHS,Business Intelligence - Enterprise Data Warehouse,2018-06-29T00:00:00,Delivery,G,2018-06-28T00:00:00,"February: The scope of this project is being re-evaluated by the governance committee, with finances being reviewed in line with the proposed stage 2 scope. ",2018-03-16T00:00:00,High,2114991,G,Metro North,72,1530252,G,G,5,"This project will introduce Business Intelligence and Data Warehousing capabilities at MNHHS. The project will deliver BI & DW technical skills,  system infrastructure, data automation tools, a pilot dataset, data governance processes and quality control framework at MNHHS. Metro North Finance and MNIT are jointly managing the project.",1480182,2016-11-01T00:00:00,DH
30/4/2018,MNHHS,Central Patient Monitoring Equipment Replacement,2018-06-30T00:00:00,Delivery,G,2018-06-30T00:00:00,,2018-03-16T00:00:00,High,1236416,G,Metro North,51,414773,G,G,6,"Metro North IT has been approached by Metro North Procurement Services (MNPS) to provide ICT advice and guidance into the Central Patient Monitoring Equipment Replacement (CPMER) Project. The Health Technology Equipment Replacement (HTER) program for central monitoring systems is providing funding in financial years 16/18 for physiological monitoring equipment requiring replacement across MNHHS hospital facilities. There is an estimated 312 pieces of equipment, primarily Physiological Monitoring devices, to be replaced under the program across MNHHS hospital facilities. MNHHS implementations are being co-ordinated by MNPS.",1236416,2017-06-28T00:00:00,DH
30/4/2018,MNHHS,"CISS (Community, Indigenous and Subacute Services) Wi-Fi",2018-06-29T00:00:00,Delivery,G,2018-06-30T00:00:00,,2018-03-16T00:00:00,Medium,1280798,G,Metro North,51,777860,G,G,7,"The Community, Indigenous and Subacute Services (CISS) Wi-Fi Project will establish the current standard for wireless local area network (WLAN) coverage within the internal areas of the prioritised CISS sites. 
30/4/2018,
30/4/2018,Queensland Health issued devices such as laptops, tablets and mobile phones will have access to the newly provisioned wireless network. This wireless network infrastructure also lays the foundations needed in order to enable additional applications and services such as Enterprise Bring Your Own Device (BYOD), Guest Wi-Fi access as well as Real Time Location Services (RTLS), realising even further benefits for sites in the near future.",1280798,2017-07-28T00:00:00,DH
30/4/2018,EHQ,Cloud First Project,2018-06-30T00:00:00,Delivery,G,2018-07-02T00:00:00,,2018-02-28T00:00:00,High,4250000,G,eHealth Queensland,49,2478969,G,G,8,The Cloud First project will build internal capability and establish processes within Queensland Health to appropriately utilise cloud services on an ongoing basis.,4107007,2017-01-01T00:00:00,DH
30/4/2018,CED,Consumer Integrated Mental Health Application (CIMHA) Clinical Notes project (release 3.0),2018-02-06T00:00:00,Delivery,G,2018-06-29T00:00:00,,2018-02-28T00:00:00,High,1415000,G,Clinical Excellence,80,1625078,G,G,9,Upgrading the CIMHA Mental Health Act module to accommodate a re-architecture of the CIMHA clinical notes module is required to deliver benefits to the clinical workforce associated with data entry efficiencies; improved data sharing across digital platforms; patient level information transfer to third parties to support service integration and data mining to support service improvement and research. ,1969365,2017-02-20T00:00:00,DH
30/4/2018,EHQ,Critical Network Hardware,2018-02-28T00:00:00,Delivery,G,2018-05-31T00:00:00,"February: This project has returned to 'on track'. 
30/4/2018,
30/4/2018,January: The project is reporting 'Amber' due to limited resource availability and additional technical requirements, impacting the schedule of the project",2018-02-28T00:00:00,High,8636364,G,eHealth Queensland,62,7386821,G,G,10,"The objectives of the project include:
30/4/2018,a) Mitigate the Department of Health risk that core network switches at QH facilities will no longer be supported by the manufacturer from February 2018.
30/4/2018,b) Invest in the replacement of critical ICT network hardware to maintain current capability and reliability of the data network for 120+ enterprise clinical and business applications and provide the foundation for future capability in the enterprise data centres.
30/4/2018,c) Ensure hardware replacement occurs with minimal impact to business operations in Hospital and Health Services or Corporate offices.
30/4/2018,d) Update logical and physical design and architecture documentation for ease of maintenance and management.",8371607,2017-03-06T00:00:00,DH
30/4/2018,EHQ,Digital Collaboration Platform Program,2018-06-30T00:00:00,Delivery,G,2019-02-28T00:00:00,"February: Project activities have continued to be delayed, resulting in this project reporting 'Red'. A project change request has been submitted to the project's governance committee.
30/4/2018,
30/4/2018,January: This project is experiencing delays in pre-migration activities. ",2018-02-28T00:00:00,High,11000000,A,eHealth Queensland,33,9475712,R,R,11,"This program will deliver digital collaboration tools for any time, any where, any device including:
30/4/2018,
30/4/2018,95 Email and Archiving
30/4/2018,
30/4/2018,95 Establishment and Collaboration
30/4/2018,
30/4/2018,95 Productivity Suite Enablement",18467291,2015-10-29T00:00:00,DH
30/4/2018,EHQ,File Services Migration,2017-06-30T00:00:00,Delivery,G,2019-06-28T00:00:00,,2018-02-28T00:00:00,High,3400000,G,eHealth Queensland,27,2790119,G,G,18,"The purpose of this investment is to adopt a contemporary, simplified file management solution for Queensland Health that enables a more cohesive customer experience.",9907925,2016-08-01T00:00:00,DH
30/4/2018,QAS,Dynamic Deployment and Service Delivery Modelling,2017-12-31T00:00:00,Initiate,G,2017-12-31T00:00:00,"February: The current proposed date of completion is the 31  December 2019, which is subject to project board approval. ",2018-02-28T00:00:00,High,1500000,G,Queensland Ambulance Service,40,529326,G,G,12,"This initiative will explore opportunities for QAS to enhance its strategic resource planning capabilities and real-time decision support for resource deployment through contemporary, evidence-based approaches to capital asset and resource management through a  Request for Information.",4167216,2015-12-01T00:00:00,DH
