Tweets,Sentiment
"Folks, stop claiming Dems are pushing this cap on detention beds ""at the last minute.""

That's what Trump says. But it's a straight up lie.

I can PROVE this. Demand for a cap is in the document that Dems put forward on Jan 31, at start of conference:

https://t.co/at1GgAc5cL https://t.co/gw2UattUJQ",neg
Millions of Americans could be stunned as their tax refunds shrink https://t.co/8pTxv45gug  Lower refunds mean tax increase rather than tax cut promised by Trump.are we having fun yet?,pos
@UsnChuck I had no idea that Trump was gaining supporters. Kind of hard to explain 2018 then? 🤔 Maybe it was all of the illegals voting that led to the Democrats nationwide 8% advantage in the midterms. But you’ve polled your rednecks and they still support Donnie. That’s all that matters,pos
If Trump can do it.... https://t.co/qAizn1yWuO,neg
@realDonaldTrump No Trump won't  same old song and dance. #Liar,neg
"@CNNnewsroom @mkraju Creating another scandal to help Trump, I see. How is the townhall event coming for Schultz?",pos
"@DonCheadle System is, she didn't make it a priority.  She had one job for the community and she messed it up.  She is not my top choice to represent Democrats, but if she is the nominee I will vote for her over Trump.",neg
"@IAmMardikins @MnsrMysterioso @Channel4News @markpalexander @C4Ciaran I’m ashamed to be English.  That I’ve identified as more European than U.K. for decades doesn’t make it any better.  The phenomenal amount of ignorance, bigotry and misplaced arrogance displayed by the British never ceases to appall me.
But then there’s Trump",neg
"'If you criticize Trump or the US, you hate white people.'

#AIPAC",neg
@realDonaldTrump @JesseBWatters Trump has always been fake,neg
"Fantastic, just terrific!  He knows presidenting. https://t.co/yWKa83XCYq",pos
"El Paso Texas Tonight with Our “Great Exemplary President” - @8:00 cst. There was another President that spoke at a wall (Reagan), but this time we’re putting one UP !!! Trump inspires me !!!",pos
"TRAIL OF TEARS FAMILIES ARE JUST ANOTHER IN A LONG LIST OF PEOPLE OWED AN APOLOGY BY TRUMP FAMILY. GO ALL THE BACK TO WHEN TRUMP OPED OUT OF DRAFT 6 TIMES. HE DID NOT SERVICE HIS COUNTRY THEN AND IS NOT SERVICING HIS COUNTRY NOW, HE PUTS HIMSELF FIRST AND COUNTRY SECOND 👎🏻👎🏻 https://t.co/DhCLQTQXOP",neg
"Kurz trifft Trump.
K.: Hello Mr.President Donald, pleased to meet you, we are both fans of building walls.
T.: Hello young friend, where do you come from?
K.: I'm from Austria.
T. : Ok, so you build walls against Aborigines?
K.: If necessary, yes.
T.: Good boy.",pos
@myserenity69 Stop showing her.  She's an idiot racist Trump plant!,neg
@Kimberlorena @Airvooocht @realDonaldTrump As a Brit I must say that every time Trump speaks we become a bit less embarrassed about Brexit so hey ho more rallies gets my vote everyday,neg
"@DirectorArketer @arias002 @DavidMu47226392 @CathyYoung63 I ever would what? There were two options there at the end. I’d never seriously tell a journalist to learn how to code, and I’ve called Trump a racist multiple times.",neg
@DiamondandSilk @LGJustinFairfax I never paid attention to the groverment until Donald Trump got in . The day he said he can't be bought. It became very important to me and my family and friends.,pos
