Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c1410cda1f5344f2b822774ba1fdf7ef.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr, 2015 (65 reg), Hatchback, 35377 miles, 2.0L, 217bhp, Manual, Petrol, 16200
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/edfc1de70dd24a098ed7bd5ce4091bb7.jpg, Volkswagen Golf 2.0 GTI 5dr, 2003 (53 reg), Hatchback, 112443 miles, 2.0L, 115bhp, Manual, Petrol, 899
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/de55de01c4ab481197f7ba8887fdc3ae.jpg, Volkswagen Golf 2.0 GTI 3dr, CAT\n\n\nWrite-off Category Icon, 1999 (T reg), Hatchback, 130453 miles, 2.0L, 115bhp, Manual, 1299
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c34b3033b94942878415d17e5f2f5f34.jpg, Volkswagen Golf 1.8 GTI 5d 177 BHP MOT - 17/04/2019, 2003 (03 reg), Hatchback, 120000 miles, 1.8L, 180bhp, Manual, Petrol, 1450
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/6b17ae6fc38f477ba19628a4c0d7756d.jpg, Volkswagen Golf 1.8 T GTI 3dr, 1999 (T reg), Hatchback, 151234 miles, 1.8L, 150bhp, Manual, Petrol, 1490
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b71a31cd3e8d40d692dbc165331aee04.jpg, Volkswagen Golf 2.0 TDI GT Hatchback 5dr Diesel Manual (154 g/km …, 2005 (05 reg), Hatchback, 170000 miles, 2.0L, 138bhp, Manual, Diesel, 1500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/888cdbf5419e41fca448b19e148fd116.jpg, Volkswagen Golf 1.8 T GTI Anniversary Ltd Edn 3dr, 2002 (02 reg), Hatchback, 80000 miles, 1.8L, 180bhp, Manual, Petrol, 3450
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/543756a67a164f5d8eb4fcbe7b81ff82.jpg, Volkswagen Golf 2.0 TFSI GTI DSG 5dr, 2005 (05 reg), Hatchback, 93500 miles, 2.0L, 198bhp, Automatic, Petrol, 3890
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/fe299f63b677477ba235cebad5cdb51c.jpg, Volkswagen Golf 1.8 T GTI Anniversary Ltd Edn 3dr, 2002 (02 reg), Hatchback, 111407 miles, 1.8L, 180bhp, Manual, Petrol, 3999
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/774dac2f9551410cab58d8c4149b38a0.jpg, Volkswagen Golf 2.0 TFSI GTI 5dr, 2006 (06 reg), Hatchback, 110804 miles, 2.0L, 198bhp, Manual, Petrol, 4000
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/9a397ccec6634494999cd3991029f3e9.jpg, Volkswagen Golf 2.8 VR6 Highline 3dr, 1998 (R reg), Hatchback, 130000 miles, 2.8L, 174bhp, Manual, Petrol, 4295
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/04d069ae0b0f4e0d9099a69dc076e489.jpg, Volkswagen Golf GTI 2.0 5dr, 2016 (16 reg), Hatchback, 26515 miles, 2.0L, 217bhp, Manual, Petrol, 17500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c1410cda1f5344f2b822774ba1fdf7ef.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr, 2015 (65 reg), Hatchback, 35377 miles, 2.0L, 217bhp, Manual, Petrol, 16200
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d6f118e3939a4c26aef0873375b499c5.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr DSG [Leather], 2012 (12 reg), Hatchback, 43726 miles, 2.0L, 232bhp, Automatic, Petrol, 14100
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/0024e0a9e85c49d78484d4946806a0b4.jpg, Volkswagen Golf 2.0 TFSI GTI 5dr, 2006 (06 reg), Hatchback, 84000 miles, 2.0L, 198bhp, Manual, Petrol, 4719
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/bd608043fbe248138a6635bd16cef2b5.jpg, Volkswagen Golf 2.0 TFSI GTI 3dr, 2006 (56 reg), Hatchback, 80000 miles, 2.0L, 198bhp, Manual, Petrol, 5495
